id,firstname,lastname,email,address,salary,company
1,John,Smith,John.Smith@gmail.com,Barbara str. 123,3200.00,C1
2,David,Jones,David.Jones@gmail.com,Barbara str. 124,4600.50,C1
3,Michael,Johnson,Michael.Johnson@gmail.com,Barbara str. 125,4000.00,C1
4,Chris,Lee,Chris.Lee@gmail.com,Barbara str. 126,2369.20,C2
5,Mike,Brown,Mike.Brown@gmail.com,Barbara str. 127,1000.00,C2
6,Mark,Williams,Mark.Williams@gmail.com,Barbara str. 128,1200.00,C2
7,Paul,Rodriguez,Paul.Rodriguez@gmail.com,Barbara str. 129,1256.00,C3
8,Daniel,Garcia,Daniel.Garcia@gmail.com,Barbara str. 130,1223.59,C3
9,James,Gonzalez,James.Gonzalez@gmail.com,Barbara str. 131,2654.00,C3
10,Maria,Lopez,Maria.Lopez@gmail.com,Barbara str. 132,5000.00,C3
